"image_name","image_url","grantha_id","file_format","resolution_dpi","horizontal_or_vertical_scan","scanner_model","worked_by","lighting_conditions","color_depth","scanning_start_date","scanning_completed_date","post_scanning_completed_date"
"P-01-F - Copy","I:\pictures\TP_DEBU-0006\P-01-F - Copy.tif","TP_DEBU-0006_main_grantha","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-F","I:\pictures\TP_DEBU-0006\P-01-F.tif","TP_DEBU-0006_main_grantha","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R - Copy","I:\pictures\TP_DEBU-0006\P-01-R - Copy.tif","TP_DEBU-0006_main_grantha","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R","I:\pictures\TP_DEBU-0006\P-01-R.tif","TP_DEBU-0006_main_grantha","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F - Copy","I:\pictures\TP_DEBU-0006\P-02-F - Copy.tif","TP_DEBU-0006_main_grantha","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F","I:\pictures\TP_DEBU-0006\P-02-F.tif","TP_DEBU-0006_main_grantha","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R - Copy","I:\pictures\TP_DEBU-0006\P-02-R - Copy.tif","TP_DEBU-0006_main_grantha","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R","I:\pictures\TP_DEBU-0006\P-02-R.tif","TP_DEBU-0006_main_grantha","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-F - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W1\P-01-F - Copy.tif","TP_DEBU-0001-W1","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-F","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W1\P-01-F.tif","TP_DEBU-0001-W1","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W1\P-01-R - Copy.tif","TP_DEBU-0001-W1","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W1\P-01-R.tif","TP_DEBU-0001-W1","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W1\P-02-F - Copy.tif","TP_DEBU-0001-W1","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W1\P-02-F.tif","TP_DEBU-0001-W1","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W1\P-02-R - Copy.tif","TP_DEBU-0001-W1","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W1\P-02-R.tif","TP_DEBU-0001-W1","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-F - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W2\P-01-F - Copy.tif","TP_DEBU-0001-W2","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-F","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W2\P-01-F.tif","TP_DEBU-0001-W2","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W2\P-01-R - Copy.tif","TP_DEBU-0001-W2","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W2\P-01-R.tif","TP_DEBU-0001-W2","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W2\P-02-F - Copy.tif","TP_DEBU-0001-W2","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W2\P-02-F.tif","TP_DEBU-0001-W2","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W2\P-02-R - Copy.tif","TP_DEBU-0001-W2","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W2\P-02-R.tif","TP_DEBU-0001-W2","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-F - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W3\P-01-F - Copy.tif","TP_DEBU-0001-W3","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-F","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W3\P-01-F.tif","TP_DEBU-0001-W3","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W3\P-01-R - Copy.tif","TP_DEBU-0001-W3","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W3\P-01-R.tif","TP_DEBU-0001-W3","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W3\P-02-F - Copy.tif","TP_DEBU-0001-W3","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W3\P-02-F.tif","TP_DEBU-0001-W3","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W3\P-02-R - Copy.tif","TP_DEBU-0001-W3","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W3\P-02-R.tif","TP_DEBU-0001-W3","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-F - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W4\P-01-F - Copy.tif","TP_DEBU-0001-W4","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-F","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W4\P-01-F.tif","TP_DEBU-0001-W4","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W4\P-01-R - Copy.tif","TP_DEBU-0001-W4","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W4\P-01-R.tif","TP_DEBU-0001-W4","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W4\P-02-F - Copy.tif","TP_DEBU-0001-W4","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W4\P-02-F.tif","TP_DEBU-0001-W4","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W4\P-02-R - Copy.tif","TP_DEBU-0001-W4","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W4\P-02-R.tif","TP_DEBU-0001-W4","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-F - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W5\P-01-F - Copy.tif","TP_DEBU-0001-W5","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-F","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W5\P-01-F.tif","TP_DEBU-0001-W5","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W5\P-01-R - Copy.tif","TP_DEBU-0001-W5","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-01-R","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W5\P-01-R.tif","TP_DEBU-0001-W5","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W5\P-02-F - Copy.tif","TP_DEBU-0001-W5","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-F","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W5\P-02-F.tif","TP_DEBU-0001-W5","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R - Copy","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W5\P-02-R - Copy.tif","TP_DEBU-0001-W5","TIF","340x340","H-Scan","Canva 480","","","","","",""
"P-02-R","I:\pictures\TP_DEBU-0006\TP_DEBU-0001-W5\P-02-R.tif","TP_DEBU-0001-W5","TIF","340x340","H-Scan","Canva 480","","","","","",""
